,id,name,start_date,FIRE_SIZE_CLASS,cause,end_date,size,lat,lon,state,start_year,start_month,start_day_of_year,end_year,end_month,end_day_of_year,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,prcp_30
3068,405818,2004-08-0703MARION,2004-08-26,A,Natural,2004-08-26,0.1,29.085,-82.34417002,FL,2004,8,239,2004.0,8.0,239.0,27.8,22.2,32.8,0.0,,,3.6,,,0.0,371.40000000000003
3069,2293252,MILE MARKER 401,2020-09-22,A,Human,2020-09-22,0.1,43.20958637,-111.05641192,ID,2020,9,266,2020.0,9.0,266.0,9.5,11.0,27.5,0.0,,,8.1,,,,11.5
3070,704163,,1994-11-23,B,Human,1994-11-23,5.0,31.80648184,-89.48817856,MS,1994,11,327,1994.0,11.0,327.0,8.0,2.8,13.3,0.0,0.0,,16.9,,1031.9,570.0,30.8
3071,2294857,PARKWAY,2020-10-14,A,Human,2020-10-14,0.1,40.74217274,-115.55784544,NV,2020,10,288,2020.0,10.0,288.0,13.6,5.6,21.7,0.0,,,12.7,,1022.5,,3.9
3072,951006,LONG,2004-06-29,A,Natural,2004-06-29,0.2,42.24047,-121.90677,OR,2004,6,181,2004.0,6.0,181.0,17.5,12.0,24.0,0.0,,,9.5,,1013.3,,0.0
3073,700618,,1996-03-23,D,Human,1996-03-23,168.0,31.06691244,-89.47444453,MS,1996,3,83,1996.0,3.0,83.0,,3.3,21.1,0.0,0.0,,,,,,59.2
3074,1708374,,2005-12-09,B,Missing data/not specified/undetermined,,0.5,18.026274,-66.62233,PR,2005,12,343,,,,26.0,23.9,28.3,0.0,0.0,,20.9,,1017.5,185.0,190.79999999999998
3075,1051029,DEER FEEDER,2002-11-30,B,Human,,2.0,35.9667,-82.3,NC,2002,11,334,,,,5.6,-1.7,12.2,0.0,0.0,260.0,25.9,,1007.7,0.0,126.19999999999999
3076,1047865,2MUDDY CREEK FIRE,2002-04-24,B,Human,,5.0,35.7667,-79.4167,NC,2002,4,114,,,,13.3,5.6,21.1,0.0,0.0,,10.8,,1023.1,,82.80000000000001
3077,930825,,2000-10-11,B,Human,,3.0,35.005,-87.2383,TN,2000,10,285,,,,11.3,0.0,22.8,0.0,,,4.1,,1028.4,,0.3
3078,1013239,,1995-05-23,B,Human,,1.0,34.1183,-78.6917,NC,1995,5,143,,,,22.9,16.6,26.1,0.0,,84.0,17.6,,,,0.0
3079,12083,PROMONTORY,2006-09-01,A,Natural,2006-09-01,0.1,34.34694444,-111.06111111,AZ,2006,9,244,2006.0,9.0,244.0,23.1,13.3,32.8,0.0,,,9.4,,1013.1,,21.4
3080,487307,,2003-05-03,B,Human,,2.0,46.77188631,-92.89042357,MN,2003,5,123,,,,7.2,-1.7,16.1,0.0,0.0,,16.6,,1020.6,0.0,45.3
3081,1892341,PRESERVE,2016-01-26,A,Human,2016-01-29,0.2,34.1133,-114.3758,AZ,2016,1,26,2016.0,1.0,29.0,14.6,10.0,20.0,0.0,,346.0,22.9,,1024.2,,0.0
3082,2238932,,2020-05-17,A,Human,,0.1,33.382526,-111.4898,AZ,2020,5,138,,,,28.6,19.0,38.0,0.0,,,,,,,0.0
3083,1045992,HEATHER LANE,2001-03-06,A,Human,,0.2,35.3167,-80.45,NC,2001,3,65,,,,2.2,-2.2,6.1,0.0,0.0,,21.2,,1009.8,,81.39999999999999
3084,1477864,06-12-TURNER ROAD FIRE 0892,2011-04-23,B,Human,2011-04-23,0.5,30.2007,-82.7087,FL,2011,4,113,2011.0,4.0,113.0,25.1,16.1,32.8,0.0,,,7.2,,1020.5,,50.4
3085,1981909,WHEAT STACK,2017-07-14,A,Natural,,0.1,45.0566,-101.374,SD,2017,7,195,,,,27.6,16.1,38.3,0.0,,,,,1017.6,,12.399999999999999
3086,498838,,1996-05-04,C,Human,,40.0,48.6233614,-96.60373969,MN,1996,5,125,,,,,-2.8,13.3,0.0,0.0,,,,,,0.0
3087,1724586,GROUSE,2014-07-22,A,Natural,2014-07-23,0.1,42.07694444,-122.73583333,OR,2014,7,203,2014.0,7.0,204.0,25.1,18.9,31.7,0.0,0.0,,10.1,,1014.6,,14.0
3088,1805595,GENE GREEN (58),2015-07-07,B,Natural,2015-07-07,1.0,27.1557,-82.3942,FL,2015,7,188,2015.0,7.0,188.0,26.5,23.0,32.0,0.0,,,10.5,,,,0.0
3089,442647,,2006-03-26,B,Human,,5.4,31.40291862,-82.81424932,GA,2006,3,85,,,,8.1,1.1,15.6,0.0,0.0,,9.4,,1021.8,,54.099999999999994
