,start_date,FIRE_SIZE_CLASS,category,cause,size,lat,lon,buinfdr,ercnfdr,icnfdr,scnfdr,u10,v10,t2m,blh,cape,lai_hv,lai_lv,slt
1933,1999-06-15,A,Natural,Natural,0.2,34.53,-111.365,,,,,,,,,,,,
1934,2010-07-28,A,Natural,Natural,0.25,47.7763889,-120.424167,52.0,55.0,41.0,9.0,2.304263114929199,1.961705207824707,292.0361328125,344.1636962890625,1.0625,3.261474609375,0.3431396484375,3.0
1935,2002-07-19,A,Natural,Natural,0.1,38.6347,-108.8693,,,,,,,,,,,,
1936,1994-06-26,A,Human,Missing data/not specified/undetermined,0.2,44.48666667,-111.29666667,,,,,,,,,,,,
1937,2017-04-18,A,Human,Equipment and vehicle use,0.25,41.1608,-74.8062,0.0,16.0,0.0,0.0,,,,,,,,
1938,2008-07-28,A,Human,Missing data/not specified/undetermined,0.11,34.558,-118.0903,,,,,,,,,,,,
1939,2006-06-12,B,Human,Fireworks,2.0,35.7,-109.9346,,,,,,,,,,,,
1940,2007-03-27,A,Human,Debris and open burning,0.25,41.03418,-78.47916,,,,,,,,,,,,
1941,1996-03-13,B,Human,Debris and open burning,3.0,33.01880256,-90.04443075,,,,,,,,,,,,
1942,1995-09-16,B,Human,Equipment and vehicle use,5.0,39.935,-122.16805555,,,,,,,,,,,,
1943,1996-05-30,C,Natural,Natural,65.0,26.66,-81.69,,,,,,,,,,,,
1944,2006-02-01,D,Human,Missing data/not specified/undetermined,100.0,27.83306,-82.13361001,,,,,,,,,,,,
